,season,id,name,position,team,conference,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns
1368,2024,4694024,Mark Mahoney,WR,Brown,,0.092,0.168,0.0,0.078,0.085,0.077,0.08,0.127
1369,2024,4694035,Graham Walker,TE,Rice,AAC,0.044,0.069,0.005,0.023,0.057,0.067,0.03,0.07
1370,2024,4694043,Ryan Clark,RB,Bryant,,0.052,0.022,0.108,0.059,0.041,0.044,0.059,0.04
1371,2024,4694066,Landon Ruggieri,WR,Bryant,,0.096,0.153,0.0,0.086,0.101,0.115,0.09,0.107
1372,2024,4694069,Marc Taglieri Jr.,TE,Bryant,,0.033,0.052,0.0,0.033,0.051,0.013,0.034,0.032
1373,2024,4694074,Coleman Bennett,RB,Rice,AAC,0.032,0.0,0.065,0.032,0.045,0.0,0.044,0.0
1374,2024,4694078,Danny Meuser,RB,Bucknell,,0.057,0.01,0.103,0.043,0.077,0.043,0.056,0.06
1375,2024,4694092,Christian Tait,WR,Wagner,,0.021,0.042,0.0,0.01,0.027,0.036,0.026,0.012
1376,2024,4694093,Damian Harris,WR,William & Mary,,0.037,0.092,0.0,0.068,0.0,0.026,0.045,0.018
1377,2024,4694113,Joey Suchy,RB,Butler,,0.103,0.053,0.134,0.126,0.094,0.068,0.11,0.08
1378,2024,4694139,Luka Popovic,WR,Butler,,0.029,0.086,0.0,0.02,0.029,0.053,0.013,0.074
1379,2024,4694149,Walker Eget,QB,San José State,MWC,0.483,0.712,0.097,0.462,0.473,0.553,0.453,0.552
1380,2024,4694209,Kale Anderson,WR,Kentucky State,,0.123,0.212,0.0,0.04,0.222,0.154,0.105,0.158
1381,2024,4694246,William Parker,TE,Colgate,,0.024,0.041,0.0,0.022,0.042,0.0,0.021,0.029
1382,2024,4694261,Marcus Libman,WR,Columbia,,0.057,0.119,0.0,0.049,0.061,0.067,0.048,0.076
1383,2024,4694263,Joey Giorgi,RB,Columbia,,0.241,0.031,0.426,0.331,0.215,0.115,0.29,0.132
1384,2024,4694288,James Miller,TE,Columbia,,0.013,0.024,0.0,0.0,0.038,0.0,0.019,0.0
1385,2024,4694302,Marcus Yarns,RB,Delaware,,0.234,0.052,0.424,0.237,0.202,0.266,0.27,0.149
1386,2024,4694361,Bryce Corriston,QB,Wofford,,0.108,0.115,0.104,0.075,0.101,0.142,0.115,0.095
1387,2024,4694389,Luke Duby,QB,Black Hills State,,0.422,0.667,0.115,0.346,0.429,0.533,0.412,0.433
1388,2024,4694404,Nicholas Laboy,WR,Delaware,,0.031,0.055,0.0,0.037,0.026,0.02,0.029,0.035
1389,2024,4694411,Matt Robbert,TE,Richmond,,0.037,0.096,0.0,0.029,0.041,0.038,0.03,0.057
1390,2024,4694462,Isaac Boston,WR,Central Connecticut,,0.046,0.11,0.0,0.029,0.063,0.051,0.031,0.078
1391,2024,4694468,Jace Henry,TE,Nevada,MWC,0.028,0.067,0.0,0.045,0.015,0.02,0.028,0.029
1392,2024,4694481,Paxton Scott,WR,Dartmouth,,0.089,0.202,0.0,0.037,0.107,0.143,0.048,0.169
1393,2024,4694487,DreSean Kendrick,RB,William & Mary,,0.041,0.109,0.004,0.052,0.036,0.027,0.046,0.027
1394,2024,4694488,JT Mayo,WR,William & Mary,,0.03,0.087,0.0,0.006,0.04,0.079,0.022,0.053
1395,2024,4694492,Malachi Imoh,RB,William & Mary,,0.175,0.078,0.234,0.203,0.177,0.125,0.18,0.164
