homeTeam,awayTeam,spread,formattedSpread,homeScore,awayScore,win_margin,cover_margin,spread_result
Fresno State,Georgia Southern,-2.5,Fresno State -2.5,42.0,14.0,28.0,25.5,Fresno State covered
Fresno State,Georgia Southern,1.5,Georgia Southern -1.5,42.0,14.0,-28.0,-29.5,Georgia Southern did NOT cover | OUTRIGHT UNDERDOG WIN: Fresno State
Fresno State,Georgia Southern,-2.0,Fresno State -2.0,42.0,14.0,28.0,26.0,Fresno State covered
Arizona,Hawai'i,-13.5,Arizona -13.5,40.0,6.0,34.0,20.5,Arizona covered
Arizona,Hawai'i,-15.5,Arizona -15.5,40.0,6.0,34.0,18.5,Arizona covered
Arizona,Hawai'i,-15.5,Arizona -15.5,40.0,6.0,34.0,18.5,Arizona covered
Oregon State,California,-3.0,Oregon State -3,15.0,34.0,-19.0,-22.0,Oregon State did NOT cover | OUTRIGHT UNDERDOG WIN: California
Oregon State,California,2.5,California -2.5,15.0,34.0,19.0,16.5,California covered
Oregon State,California,3.0,California -3.0,15.0,34.0,19.0,16.0,California covered
Washington,Colorado State,-20.5,Washington -20.5,38.0,21.0,17.0,-3.5,Washington did NOT cover
Washington,Colorado State,-22.5,Washington -22.5,38.0,21.0,17.0,-5.5,Washington did NOT cover
Washington,Colorado State,-22.5,Washington -22.5,38.0,21.0,17.0,-5.5,Washington did NOT cover
UCLA,Utah,6.5,Utah -6.5,10.0,43.0,33.0,26.5,Utah covered
UCLA,Utah,6.5,Utah -6.5,10.0,43.0,33.0,26.5,Utah covered
UCLA,Utah,6.5,Utah -6.5,10.0,43.0,33.0,26.5,Utah covered
Miami,Notre Dame,2.5,Notre Dame -2.5,27.0,24.0,-3.0,-5.5,Notre Dame did NOT cover | OUTRIGHT UNDERDOG WIN: Miami
Miami,Notre Dame,2.5,Notre Dame -2.5,27.0,24.0,-3.0,-5.5,Notre Dame did NOT cover | OUTRIGHT UNDERDOG WIN: Miami
Miami,Notre Dame,3.0,Notre Dame -3.0,27.0,24.0,-3.0,-6.0,Notre Dame did NOT cover | OUTRIGHT UNDERDOG WIN: Miami
North Carolina,TCU,3.0,TCU -3,14.0,48.0,34.0,31.0,TCU covered
North Carolina,TCU,3.5,TCU -3.5,14.0,48.0,34.0,30.5,TCU covered
North Carolina,TCU,3.5,TCU -3.5,14.0,48.0,34.0,30.5,TCU covered
Iowa State,Iowa,-1.5,Iowa State -1.5,16.0,13.0,3.0,1.5,Iowa State covered
Iowa State,Iowa,-3.0,Iowa State -3.0,16.0,13.0,3.0,0.0,Iowa State did NOT cover
Iowa State,Iowa,-3.5,Iowa State -3.5,16.0,13.0,3.0,-0.5,Iowa State did NOT cover
Missouri,Kansas,-7.0,Missouri -7,42.0,31.0,11.0,4.0,Missouri covered
Missouri,Kansas,-5.5,Missouri -5.5,42.0,31.0,11.0,5.5,Missouri covered
Missouri,Kansas,-6.5,Missouri -6.5,42.0,31.0,11.0,4.5,Missouri covered
Oklahoma,Michigan,-3.0,Oklahoma -3,24.0,13.0,11.0,8.0,Oklahoma covered
Oklahoma,Michigan,-4.0,Oklahoma -4.0,24.0,13.0,11.0,7.0,Oklahoma covered
Oklahoma,Michigan,-3.5,Oklahoma -3.5,24.0,13.0,11.0,7.5,Oklahoma covered
Georgia Tech,Clemson,8.5,Clemson -8.5,,,,,
Georgia Tech,Clemson,9.5,Clemson -9.5,,,,,
Tennessee,Georgia,7.5,Georgia -7.5,,,,,
Tennessee,Georgia,7.0,Georgia -7,,,,,
West Virginia,Pittsburgh,2.5,Pittsburgh -2.5,,,,,
West Virginia,Pittsburgh,2.0,Pittsburgh -2,,,,,
LSU,Florida,-5.5,LSU -5.5,,,,,
LSU,Florida,-6.5,LSU -6.5,,,,,
Notre Dame,Texas A&M,-7.0,Notre Dame -7,,,,,
Notre Dame,Texas A&M,-6.5,Notre Dame -6.5,,,,,
Indiana,Illinois,-2.5,Indiana -2.5,,,,,
Oregon,Oregon State,-26.5,Oregon -26.5,,,,,
Miami,Florida,-3.5,Miami -3.5,,,,,
Miami,Florida,-3.0,Miami -3,,,,,
Utah,Texas Tech,-3.5,Utah -3.5,,,,,
Georgia,Alabama,-4.0,Georgia -4,,,,,
Georgia,Alabama,-4.0,Georgia -4,,,,,
Penn State,Oregon,-5.5,Penn State -5.5,,,,,
Penn State,Oregon,-6.5,Penn State -6.5,,,,,
North Carolina,Clemson,13.5,Clemson -13.5,,,,,
Florida State,Miami,7.0,Miami -7,,,,,
Florida State,Miami,4.5,Miami -4.5,,,,,
Florida,Texas,6.5,Texas -6.5,,,,,
Florida,Texas,6.5,Texas -6.5,,,,,
Notre Dame,Boise State,-16.5,Notre Dame -16.5,,,,,
Notre Dame,Boise State,-16.0,Notre Dame -16,,,,,
USC,Michigan,1.5,Michigan -1.5,,,,,
Oregon,Indiana,-14.5,Oregon -14.5,,,,,
Oregon,Indiana,-13.5,Oregon -13.5,,,,,
Auburn,Georgia,7.0,Georgia -7,,,,,
Auburn,Georgia,6.0,Georgia -6,,,,,
Utah,Arizona State,-2.5,Utah -2.5,,,,,
Texas,Oklahoma,-9.5,Texas -9.5,,,,,
Texas,Oklahoma,-9.5,Texas -9.5,,,,,
Miami,Louisville,-6.5,Miami -6.5,,,,,
Arizona State,Texas Tech,-4.0,Arizona State -4,,,,,
Michigan,Washington,-10.5,Michigan -10.5,,,,,
Michigan,Washington,-10.5,Michigan -10.5,,,,,
Clemson,SMU,-11.5,Clemson -11.5,,,,,
Alabama,Tennessee,-12.5,Alabama -12.5,,,,,
Alabama,Tennessee,-11.5,Alabama -11.5,,,,,
Georgia,Ole Miss,-10.5,Georgia -10.5,,,,,
Georgia,Ole Miss,-10.5,Georgia -10.5,,,,,
Notre Dame,USC,-10.5,Notre Dame -10.5,,,,,
Notre Dame,USC,-10.5,Notre Dame -10.5,,,,,
South Carolina,Alabama,7.5,Alabama -7.5,,,,,
Michigan State,Michigan,8.5,Michigan -8.5,,,,,
Michigan State,Michigan,8.0,Michigan -8,,,,,
LSU,Texas A&M,-5.5,LSU -5.5,,,,,
LSU,Texas A&M,-5.5,LSU -5.5,,,,,
Kansas,Kansas State,4.0,Kansas State -4,,,,,
Kansas,Kansas State,4.0,Kansas State -4,,,,,
Ohio State,Penn State,-4.0,Ohio State -4,,,,,
Ohio State,Penn State,-4.0,Ohio State -4,,,,,
SMU,Miami,1.5,Miami -1.5,,,,,
Kansas State,Texas Tech,-4.5,Kansas State -4.5,,,,,
Kansas State,Texas Tech,-4.0,Kansas State -4,,,,,
Florida,Georgia,7.5,Georgia -7.5,,,,,
Florida,Georgia,7.0,Georgia -7,,,,,
Clemson,Florida State,-16.5,Clemson -16.5,,,,,
Clemson,Florida State,-17.0,Clemson -17,,,,,
Alabama,LSU,-5.5,Alabama -5.5,,,,,
Alabama,LSU,-6.0,Alabama -6,,,,,
Louisville,Clemson,6.5,Clemson -6.5,,,,,
Louisville,Clemson,6.0,Clemson -6,,,,,
Alabama,Oklahoma,-12.5,Alabama -12.5,,,,,
Alabama,Oklahoma,-12.5,Alabama -12.5,,,,,
Georgia,Texas,-2.5,Georgia -2.5,,,,,
Georgia,Texas,-2.5,Georgia -2.5,,,,,
North Carolina,Duke,-1.5,North Carolina -1.5,,,,,
North Carolina,Duke,1.5,Duke -1.5,,,,,
South Carolina,Virginia Tech,-8.5,South Carolina -8.5,24.0,11.0,13.0,4.5,South Carolina covered
South Carolina,Virginia Tech,-7.5,South Carolina -7.5,24.0,11.0,13.0,5.5,South Carolina covered
South Carolina,Virginia Tech,-7.0,South Carolina -7.0,24.0,11.0,13.0,6.0,South Carolina covered
Tennessee,Syracuse,-13.5,Tennessee -13.5,45.0,26.0,19.0,5.5,Tennessee covered
Tennessee,Syracuse,-13.5,Tennessee -13.5,45.0,26.0,19.0,5.5,Tennessee covered
Tennessee,Syracuse,-13.5,Tennessee -13.5,45.0,26.0,19.0,5.5,Tennessee covered
Oregon,USC,-13.5,Oregon -13.5,,,,,
Oregon,USC,-12.0,Oregon -12,,,,,
Florida,Tennessee,-4.0,Florida -4,,,,,
Colorado,Arizona State,4.5,Arizona State -4.5,,,,,
UNLV,UCLA,2.5,UCLA -2.5,30.0,23.0,-7.0,-9.5,UCLA did NOT cover | OUTRIGHT UNDERDOG WIN: UNLV
UNLV,UCLA,2.5,UCLA -2.5,30.0,23.0,-7.0,-9.5,UCLA did NOT cover | OUTRIGHT UNDERDOG WIN: UNLV
UNLV,Idaho State,-30.5,UNLV -30.5,38.0,31.0,7.0,-23.5,UNLV did NOT cover
UNLV,Idaho State,-30.5,UNLV -30.5,38.0,31.0,7.0,-23.5,UNLV did NOT cover
Mississippi State,Arizona State,6.0,Arizona State -6.0,24.0,20.0,-4.0,-10.0,Arizona State did NOT cover | OUTRIGHT UNDERDOG WIN: Mississippi State
Mississippi State,Arizona State,5.5,Arizona State -5.5,24.0,20.0,-4.0,-9.5,Arizona State did NOT cover | OUTRIGHT UNDERDOG WIN: Mississippi State
Washington State,San Diego State,-2.0,Washington State -2.0,36.0,13.0,23.0,21.0,Washington State covered
Washington State,San Diego State,-2.5,Washington State -2.5,36.0,13.0,23.0,20.5,Washington State covered
Louisville,James Madison,-15.0,Louisville -15.0,28.0,14.0,14.0,-1.0,Louisville did NOT cover
Louisville,James Madison,-15.5,Louisville -15.5,28.0,14.0,14.0,-1.5,Louisville did NOT cover
Nicholls,Incarnate Word,13.5,Incarnate Word -13.5,20.0,6.0,-14.0,-27.5,Incarnate Word did NOT cover | OUTRIGHT UNDERDOG WIN: Nicholls
Nicholls,Incarnate Word,13.5,Incarnate Word -13.5,20.0,6.0,-14.0,-27.5,Incarnate Word did NOT cover | OUTRIGHT UNDERDOG WIN: Nicholls
Maryland,Northern Illinois,-17.0,Maryland -17.0,20.0,9.0,11.0,-6.0,Maryland did NOT cover
Maryland,Northern Illinois,-16.5,Maryland -16.5,20.0,9.0,11.0,-5.5,Maryland did NOT cover
South Carolina,Clemson,4.5,Clemson -4.5,,,,,
Bowling Green,Lafayette,-21.0,Bowling Green -21.0,26.0,7.0,19.0,-2.0,Bowling Green did NOT cover
Bowling Green,Lafayette,-21.5,Bowling Green -21.5,26.0,7.0,19.0,-2.5,Bowling Green did NOT cover
