gameId,offense,defense,final_offense_score,final_defense_score,total_yards,total_plays,penalties,turnovers,explosives,third_down_attempts,third_down_success,fourth_down_attempts,fourth_down_success,total_ppa,avg_ppa,win
401767350,Howard,Florida A&M,10,9,311,82,3,2,3,19,7,10,2,3.479859621767369,0.05898067155537914,1
401767369,Alcorn State,Northwestern State,10,20,379,107,20,3,6,23,6,14,4,-7.5236845814240105,-0.1044956191864446,0
401767369,Northwestern State,Alcorn State,20,10,429,77,3,2,7,13,4,11,3,-6.885097942222172,-0.11870858521072711,1
401767410,North Carolina Central,Southern,31,14,533,82,5,2,7,11,5,6,3,21.46362348403404,0.34069243625450857,1
401767410,Southern,North Carolina Central,14,31,413,66,6,1,6,13,4,10,2,11.941822595170155,0.24878797073271156,0
401767415,South Carolina State,Wofford,16,19,607,108,3,0,12,23,12,11,5,-2.0153433952289195,-0.021670359088483006,0
401767415,Wofford,South Carolina State,19,16,263,71,2,0,4,16,5,11,4,-5.986873331584336,-0.11295987418083653,1
401767425,Mississippi Valley State,Southern,29,34,443,88,7,2,11,14,2,12,4,3.2339652942127355,0.04975331221865747,0
401767425,Southern,Mississippi Valley State,34,29,540,99,3,1,8,18,6,10,6,0.36916564504151794,0.0046145705630189745,1
401767431,Prairie View A&M,Texas Southern,22,21,616,89,5,2,10,18,6,11,6,9.620248845539425,0.1300033627775598,1
401767431,Texas Southern,Prairie View A&M,21,16,315,65,3,0,6,10,6,5,0,9.789650273769375,0.19195392693665442,1
401767446,Indiana State,McKendree,41,24,605,109,6,2,10,13,3,10,5,15.910636658090839,0.2014004640264663,1
401767446,McKendree,Indiana State,24,41,571,106,5,3,11,20,8,9,4,4.019542164235715,0.05088028055994576,0
401767454,East Tennessee State,Murray State,45,17,705,103,3,2,8,13,6,9,5,32.07150425909377,0.38640366577221413,1
401767454,Murray State,East Tennessee State,17,45,342,85,8,3,5,14,3,12,4,2.2621327646315237,0.03590686927986546,0
401767468,Houston Christian,Little Rock,69,0,515,98,1,3,5,11,8,3,0,25.492662635772078,0.31088612970453755,1
401767468,Little Rock,Houston Christian,0,69,94,74,6,4,1,17,0,19,1,-16.378462268290022,-0.3033048568201856,0
401767476,Incarnate Word,Nicholls,6,20,272,87,5,3,6,18,3,14,5,-23.781587129717497,-0.34972922249584554,0
401767476,Nicholls,Incarnate Word,20,6,545,87,3,0,10,20,5,12,6,-1.0280703621816027,-0.015576823669418224,1
401767490,Louisiana College,McNeese,9,54,265,82,5,3,7,17,3,12,3,-4.262698794396722,-0.0698803081048643,0
401767490,McNeese,Louisiana College,54,9,849,101,6,1,14,9,5,4,1,37.487072382747975,0.4745199035790883,1
401767509,North Dakota State,The Citadel,38,0,565,87,5,2,11,12,7,6,2,33.18925147924449,0.48100364462673173,1
401767509,The Citadel,North Dakota State,0,38,171,58,0,1,1,12,2,9,1,-9.514296417838839,-0.2024318386774221,0
401767526,Sul Ross State,UT Rio Grande Valley,0,68,110,61,5,1,1,14,2,10,1,-14.839350997631252,-0.3297633555029167,0
401767526,UT Rio Grande Valley,Sul Ross State,82,0,863,81,2,0,14,9,7,2,2,44.4277279347133,0.683503506687897,1
401767536,Butler,Northern Iowa,14,38,450,89,1,3,6,22,13,6,2,10.420181946989784,0.14274221845191484,0
401767536,Northern Iowa,Butler,38,14,556,76,2,1,8,10,6,3,2,29.233110376678276,0.4954764470623437,1
401767547,Southern Illinois,Thomas More College,49,3,528,83,3,2,8,11,5,7,1,17.208928970447253,0.26888951516323834,1
401767547,Thomas More College,Southern Illinois,3,49,414,79,6,5,8,14,6,8,4,-15.963663809781897,-0.26606106349636494,0
401767549,Mercyhurst,Youngstown State,15,24,515,82,3,4,9,14,7,11,4,10.84287540962201,0.15271655506509874,0
401767549,Youngstown State,Mercyhurst,24,15,396,87,6,0,5,15,4,8,3,9.634567842690862,0.1579437351260797,1
401767572,Mercer,Presbyterian,10,15,332,80,4,2,4,14,5,7,2,3.942873535584201,0.06571455892640335,0
401767572,Presbyterian,Mercer,15,10,609,97,5,2,13,18,7,13,8,9.561612229848821,0.13659446042641174,1
401767602,Davidson,Georgetown,14,52,453,81,2,2,7,17,6,9,4,2.3418292235448055,0.032983510190771906,0
401767602,Georgetown,Davidson,52,14,636,79,2,0,7,13,9,4,2,38.54599556034499,0.6118411993705554,1
401767620,Drake,Upper Iowa University,41,7,722,93,4,1,15,21,11,6,4,23.799696714750837,0.3499955399228064,1
401767620,Upper Iowa University,Drake,7,41,274,64,6,2,2,12,4,9,2,-5.456498517895157,-0.1136770524561491,0
