,season,week,seasonType,id,name,position,team,opponent,averagePPA.all,averagePPA.pass,averagePPA.rush
939,2024,1,regular,4426696,Micah Bernard,RB,Utah,Southern Utah,0.24,,0.24
940,2024,1,regular,4428754,Charlie Vincent,RB,Utah,Southern Utah,-0.494,,-0.494
941,2024,1,regular,4431309,Money Parks,WR,Utah,Southern Utah,0.645,0.645,
942,2024,1,regular,4432208,Caleb Lohner,TE,Utah,Southern Utah,2.618,2.618,
943,2024,1,regular,4569557,Miki Suguturaga,TE,Utah,Southern Utah,-0.342,-0.342,
944,2024,1,regular,4684913,Braedon Wissler,RB,Southern Utah,Utah,-0.381,,-0.381
945,2024,1,regular,4697131,Bronson Barron,QB,Southern Utah,Utah,-0.309,-0.366,0.092
946,2024,1,regular,4698425,Jordan Jefferson,RB,Southern Utah,Utah,-0.489,-0.377,-0.545
947,2024,1,regular,4711055,Dorian Singer,WR,Utah,Southern Utah,1.169,1.169,
948,2024,1,regular,4804885,Brandon Rose,QB,Utah,Southern Utah,1.01,,1.01
949,2024,1,regular,4808744,Jaylon Glover,RB,Utah,Southern Utah,-0.615,,-0.615
950,2024,1,regular,4876330,Jackson Berry,QB,Southern Utah,Utah,-0.017,-0.068,0.148
951,2024,1,regular,4922995,Dijon Stanley,RB,Utah,Southern Utah,1.628,4.346,0.269
952,2024,1,regular,4940235,Taeshaun Lyons,WR,Utah,Southern Utah,-0.114,-0.114,
953,2024,1,regular,5079771,Isaac Wilson,QB,Utah,Southern Utah,-0.165,-0.222,-0.01
954,2024,1,regular,5084829,Luca Caldarella,WR,Utah,Southern Utah,0.41,0.41,
955,2024,1,regular,5085714,Jordan Pachot,QB,Southern Utah,Utah,-0.536,-0.536,
956,2024,1,regular,5093733,Joshua Acord,TE,Southern Utah,Utah,-0.125,-0.125,
957,2024,1,regular,5103514,Daidren Zipperer,WR,Utah,Southern Utah,1.278,1.278,
958,2024,1,regular,5148821,Hunter Andrews,TE,Utah,Southern Utah,0.776,,0.776
959,2024,1,regular,5152900,Mike Mitchell,RB,Utah,Southern Utah,0.958,,0.958
960,2024,1,regular,5219999,Omar Shah,RB,Utah,Southern Utah,-1.161,,-1.161
961,2024,1,regular,4432369,Sol-Jay Maiava-Peters,RB,New Mexico,Arizona,-0.553,-0.553,
962,2024,1,regular,4433871,Caleb Medford,WR,New Mexico,Arizona,3.01,3.01,
963,2024,1,regular,4570132,Ryan Davis,WR,New Mexico,Arizona,0.603,0.603,
964,2024,1,regular,4575131,Jacory Merritt,RB,Arizona,New Mexico,0.079,-0.914,0.155
965,2024,1,regular,4682761,Luke Wysong,WR,New Mexico,Arizona,1.771,1.771,
966,2024,1,regular,4684525,Eli Sanders,RB,New Mexico,Arizona,-0.142,1.932,-0.401
967,2024,1,regular,4685289,Keyan Burnett,TE,Arizona,New Mexico,1.308,1.308,
968,2024,1,regular,4685445,Rayshon Luke,RB,Arizona,New Mexico,0.461,2.287,-1.364
969,2024,1,regular,4685472,Tetairoa Mcmillan,WR,Arizona,New Mexico,2.238,2.238,
970,2024,1,regular,4686775,Montana Lemonious-Craig,WR,Arizona,New Mexico,0.783,0.783,
971,2024,1,regular,4694583,Quali Conley,RB,Arizona,New Mexico,0.75,0.685,0.77
972,2024,1,regular,4695616,Isaiah Chavez,QB,New Mexico,Arizona,-0.587,,-0.587
973,2024,1,regular,4708878,Trace Bruckler,TE,New Mexico,Arizona,0.766,0.766,
974,2024,1,regular,4801717,Noah Fifita,QB,Arizona,New Mexico,0.919,0.885,1.968
975,2024,1,regular,4816099,Javen Jacobs,RB,New Mexico,Arizona,0.344,-0.237,0.925
976,2024,1,regular,4870994,Malachi Riley,WR,Arizona,New Mexico,0.387,0.387,
977,2024,1,regular,4899361,Kedrick Reescano,RB,Arizona,New Mexico,-1.069,,-1.069
978,2024,1,regular,5093837,Chris Hunter,WR,Arizona,New Mexico,1.715,1.715,
979,2024,1,regular,5105849,Devon Dampier,QB,New Mexico,Arizona,0.439,0.422,0.487
980,2024,1,regular,5122072,Nic Trujillo,WR,New Mexico,Arizona,2.078,2.078,
981,2024,1,regular,5219140,Jeremiah Patterson,WR,Arizona,New Mexico,0.478,0.478,
982,2024,1,regular,4428594,Melquan Stovall,WR,Arizona State,Wyoming,1.925,1.925,
983,2024,1,regular,4429066,Jeff Sims,QB,Arizona State,Wyoming,-0.05,,-0.05
984,2024,1,regular,4429316,DeCarlos Brooks,RB,Arizona State,Wyoming,0.709,,0.709
985,2024,1,regular,4431461,Chamon Metayer,TE,Arizona State,Wyoming,2.7,2.7,
986,2024,1,regular,4567532,Devin Boddie Jr.,WR,Wyoming,Arizona State,0.709,1.73,-0.313
987,2024,1,regular,4572455,Jake Smith,WR,Arizona State,Wyoming,0.546,0.76,-0.097
988,2024,1,regular,4680018,Alton McCaskill,RB,Arizona State,Wyoming,-0.349,,-0.349
989,2024,1,regular,4688818,D.J. Jones,RB,Wyoming,Arizona State,-0.106,,-0.106
990,2024,1,regular,4695910,Xavier Guillory,WR,Arizona State,Wyoming,0.151,0.151,
991,2024,1,regular,4696981,Cameron Skattebo,RB,Arizona State,Wyoming,0.386,0.595,0.367
992,2024,1,regular,4700138,Sam Scott,RB,Wyoming,Arizona State,0.315,,0.315
993,2024,1,regular,4869443,Tyler King,WR,Wyoming,Arizona State,1.22,1.22,
994,2024,1,regular,4880281,Jordyn Tyson,WR,Arizona State,Wyoming,1.084,1.416,-0.243
995,2024,1,regular,4899468,Kaden Anderson,QB,Wyoming,Arizona State,0.708,1.159,-0.646
996,2024,1,regular,5078810,Sam Leavitt,QB,Arizona State,Wyoming,0.635,0.514,1.078
997,2024,1,regular,5079348,Jason Brown Jr.,RB,Arizona State,Wyoming,1.382,,1.382
998,2024,1,regular,5082633,Evan Svoboda,QB,Wyoming,Arizona State,-0.289,-0.479,0.851
999,2024,1,regular,5110535,Kyson Brown,RB,Arizona State,Wyoming,0.747,7.002,-0.295
1000,2024,1,regular,5152200,Jamari Ferrell,RB,Wyoming,Arizona State,-0.734,,-0.734
1001,2024,1,regular,5159831,Derek Eusebio,WR,Arizona State,Wyoming,0.026,,0.026
1002,2024,1,regular,5193298,Chris Durr Jr.,WR,Wyoming,Arizona State,2.625,2.625,
1003,2024,1,regular,4427191,Dequan Finn,QB,Baylor,Tarleton State,-0.098,-0.101,-0.083
1004,2024,1,regular,4431389,Ketron Jackson,WR,Baylor,Tarleton State,3.359,3.359,
1005,2024,1,regular,4432759,Sawyer Robertson,QB,Baylor,Tarleton State,1.216,1.216,
1006,2024,1,regular,4587721,Daniel Greek,QB,Tarleton State,Baylor,0.066,0.116,-0.149
1007,2024,1,regular,4594749,Michael Trigg,TE,Baylor,Tarleton State,1.694,1.694,
1008,2024,1,regular,4708127,Monaray Baldwin,WR,Baylor,Tarleton State,2.057,2.057,
1009,2024,1,regular,4715357,Braelon Bridges,RB,Tarleton State,Baylor,-0.14,,-0.14
1010,2024,1,regular,4715358,Derrel Kelley III,RB,Tarleton State,Baylor,-0.218,,-0.218
1011,2024,1,regular,4837335,Richard Reese,RB,Baylor,Tarleton State,0.067,-0.06,0.081
1012,2024,1,regular,4876167,Benjamin Omayebu,WR,Tarleton State,Baylor,0.951,0.951,
1013,2024,1,regular,4879194,Josh Cameron,WR,Baylor,Tarleton State,0.955,0.955,
1014,2024,1,regular,4879677,Ashtyn Hawkins,WR,Baylor,Tarleton State,1.631,1.631,
1015,2024,1,regular,4887796,Kayvon Britten,RB,Tarleton State,Baylor,0.112,,0.112
1016,2024,1,regular,4917621,Micah Gifford,WR,Baylor,Tarleton State,2.943,2.943,
1017,2024,1,regular,4921305,Matthew Klopfenstein,TE,Baylor,Tarleton State,2.339,2.339,
1018,2024,1,regular,4921517,Dawson Pendergrass,RB,Baylor,Tarleton State,0.158,-0.21,0.201
1019,2024,1,regular,5079627,Jadon Porter,WR,Baylor,Tarleton State,0.62,0.62,
1020,2024,1,regular,5093994,Dawson Hearne,TE,Tarleton State,Baylor,-0.255,-0.255,
1021,2024,1,regular,5145459,Nate Bennett,QB,Baylor,Tarleton State,2.943,2.943,
1022,2024,1,regular,5222190,Joseph Hagman,RB,Baylor,Tarleton State,-0.391,,-0.391
1023,2024,1,regular,4429949,Maliq Carr,TE,Houston,UNLV,1.308,1.308,
1024,2024,1,regular,4431281,Christian Moore,TE,UNLV,Houston,-0.429,,-0.429
1025,2024,1,regular,4431479,Ricky White,WR,UNLV,Houston,0.27,0.27,
1026,2024,1,regular,4432551,Stacy Sneed,RB,Houston,UNLV,-0.331,-0.051,-0.472
1027,2024,1,regular,4683111,Jaden Bradley,WR,UNLV,Houston,1.894,1.894,
1028,2024,1,regular,4683227,Joseph Manjack,WR,Houston,UNLV,0.6,0.6,
