,id,season,seasonType,week,startDate,homeTeam,homeConference,homeClassification,homeScore,awayTeam,awayConference,awayClassification,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline,0
723,401634041,2024,regular,13,2024-11-23T19:00:00.000Z,East Texas A&M,Southland,fcs,24.0,Incarnate Word,Southland,fcs,38.0,ESPN Bet,21.5,Incarnate Word -21.5,,,,,,
724,401628566,2024,regular,14,2024-11-30T17:00:00.000Z,Ohio State,Big Ten,fbs,10.0,Michigan,Big Ten,fbs,13.0,ESPN Bet,-20.5,Ohio State -20.5,-20.5,41.5,43.5,-2000.0,1000.0,
725,401628566,2024,regular,14,2024-11-30T17:00:00.000Z,Ohio State,Big Ten,fbs,10.0,Michigan,Big Ten,fbs,13.0,Bovada,-20.0,Ohio State -20.0,-20.5,42.0,43.0,-1500.0,775.0,
726,401628566,2024,regular,14,2024-11-30T17:00:00.000Z,Ohio State,Big Ten,fbs,10.0,Michigan,Big Ten,fbs,13.0,DraftKings,-19.5,Ohio State -19.5,-10.0,41.5,,-1350.0,800.0,
727,401635622,2024,regular,14,2024-11-30T17:00:00.000Z,Wake Forest,ACC,fbs,17.0,Duke,ACC,fbs,23.0,ESPN Bet,3.5,Duke -3.5,2.5,53.5,54.5,140.0,-165.0,
728,401635622,2024,regular,14,2024-11-30T17:00:00.000Z,Wake Forest,ACC,fbs,17.0,Duke,ACC,fbs,23.0,Bovada,3.5,Duke -3.5,4.0,53.0,53.5,160.0,-185.0,
729,401635622,2024,regular,14,2024-11-30T17:00:00.000Z,Wake Forest,ACC,fbs,17.0,Duke,ACC,fbs,23.0,DraftKings,3.5,Duke -3.5,3.0,53.0,,140.0,-166.0,
730,401636929,2024,regular,12,2024-11-16T21:00:00.000Z,West Virginia,Big 12,fbs,35.0,Baylor,Big 12,fbs,49.0,DraftKings,2.0,Baylor -2,-1.5,60.0,,110.0,-130.0,
731,401636929,2024,regular,12,2024-11-16T21:00:00.000Z,West Virginia,Big 12,fbs,35.0,Baylor,Big 12,fbs,49.0,Bovada,2.5,Baylor -2.5,2.0,60.0,58.5,105.0,-125.0,
732,401636929,2024,regular,12,2024-11-16T21:00:00.000Z,West Virginia,Big 12,fbs,35.0,Baylor,Big 12,fbs,49.0,ESPN Bet,1.5,Baylor -1.5,1.5,57.5,58.5,110.0,-130.0,
733,401634012,2024,regular,13,2024-11-23T19:00:00.000Z,Western Illinois,Big South-OVC,fcs,45.0,Gardner-Webb,Big South-OVC,fcs,28.0,ESPN Bet,7.0,Gardner-Webb -7,,68.5,,,,
