id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401767369,2466,Northwestern State,Southland,home,20,9-18,,12,1-1,1,1,0,0,1,0,58,3,2,85,,2,1,29:57,1,18,3,,40,1,185,,,,3-13,1,8-60,270,2,4.7,4.6
401767410,2428,North Carolina Central,MEAC,away,31,22-27,,21,1-1,1,1,,,0,0,74,3,7,186,,,1,35:06,0,7,1,,36,3,223,,,,6-11,1,5-50,409,1,6.9,6.2
401767410,2582,Southern,SWAC,home,14,13-19,,15,2-3,1,0,,,0,0,67,4,2,88,,,0,24:54,,,,,30,2,249,,,,2-10,1,743-37,337,1,4.6,8.3
401767415,2569,South Carolina State,MEAC,home,16,27-50,,23,1-3,0,,,,0,0,14,1,10,299,,,1,34:13,0,2,2,,41,0,111,,,,12-23,,7-75,410,0,6.0,2.7
401767415,2747,Wofford,Southern,away,15,6-21,,10,1-1,0,,,,0,0,158,5,1,56,,,0,25:47,,,,,30,0,86,,,,4-15,,6-40,142,0,2.7,2.9
401767425,2582,Southern,SWAC,away,34,17-30,,20,3-4,2,1,,,0,0,136,6,10,152,,,1,33:28,0,-5,2,,50,3,212,,,,6-16,2,7-60,364,2,5.1,4.2
401767425,2400,Mississippi Valley State,SWAC,home,29,14-33,,14,1-3,0,2,,,0,0,68,5,11,218,,,2,26:32,0,0,1,,31,0,78,,,,2-14,1,8-50,296,0,6.6,2.5
401767431,2504,Prairie View A&M,SWAC,away,22,22-38,,19,2-3,0,,,,1,0,46,2,2,295,,,1,38:10,0,1,1,,30,1,130,,,,6-16,,15-159,425,1,7.8,4.3
401767431,2640,Texas Southern,SWAC,home,21,11-16,,17,3-3,0,0,0,0,0,0,140,3,3,132,,1,1,21:50,,,,,30,2,126,,,,5-9,1,7-63,258,0,8.3,4.2
401767446,282,Indiana State,MVFC,home,41,19-27,,27,1-2,1,1,0,6,1,0,108,5,11,250,,2,2,30:02,0,28,1,,51,3,219,,,,3-11,1,8-65,469,2,9.3,4.3
401767446,2816,McKendree,Great Lakes,away,24,16-40,,22,1-2,1,0,0,0,2,0,63,3,4,188,,1,2,29:58,0,7,1,,39,1,137,,,,7-17,1,4-20,325,3,4.7,3.5
401767454,93,Murray State,MVFC,away,17,22-35,,18,2-3,0,1,0,16,2,0,51,4,5,226,,1,1,28:51,,,,,28,1,34,,,,2-12,1,6-35,260,2,6.5,1.2
401767454,2193,East Tennessee State,Southern,home,45,17-25,,31,3-3,1,0,0,1,1,0,9,1,9,180,,2,1,31:09,0,9,1,,58,5,392,,,,6-12,2,5-53,572,2,7.2,6.8
401767468,2277,Houston Christian,Southland,home,69,14-21,,31,0-1,1,0,0,0,1,0,9,1,9,129,,2,2,33:55,0,-5,2,,55,8,402,,,,7-11,2,5-40,531,2,6.1,7.3
401767476,2447,Nicholls,Southland,home,20,21-36,,14,0-0,1,2,1,40,0,,,,8,221,,3,1,30:31,0,31,3,,29,0,66,,,,5-17,0,3-25,287,1,6.1,2.3
401767476,2916,Incarnate Word,Southland,away,6,24-36,,15,2-3,1,1,,,3,0,46,3,6,188,,,0,29:29,0,12,3,,33,0,16,,,,3-16,3,9-55,204,4,5.2,0.5
401767490,2377,McNeese,Southland,home,54,25-34,,39,0-1,1,0,0,-7,0,0,62,2,10,359,,1,3,37:57,0,8,5,,42,4,313,,,,5-9,3,7-80,672,1,10.6,7.5
401767509,2449,North Dakota State,MVFC,away,38,16-22,,25,1-1,0,1,,,0,0,34,1,8,263,,,2,36:03,0,4,2,,47,3,256,,,,7-12,2,6-35,519,0,12.0,5.4
401767509,2643,The Citadel,Southern,home,0,2-6,,8,1-2,1,0,,,0,0,13,1,,22,,,0,23:57,,,,,41,0,104,,,,2-12,1,0-0,126,1,3.7,2.5
401767526,292,UT Rio Grande Valley,Southland,home,66,26-27,,29,0-0,1,1,,,0,0,0,1,12,438,,,5,30:37,0,-2,1,,35,4,236,,,,7-9,1,8-71,674,1,16.2,6.7
401767526,2834,Sul Ross State,Lone Star,away,0,10-14,,6,0-1,1,1,,,0,0,128,7,,41,,,0,29:23,,,,,31,0,33,,,,2-12,1,12-70,74,1,2.9,1.1
401767536,2086,Butler,Pioneer,away,14,22-36,,19,1-2,1,0,,,2,0,53,3,2,189,,,1,31:43,0,13,1,,37,1,147,,,,13-20,2,2-20,336,3,5.3,4.0
