,id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
159,401767150,2717,Western Carolina,Southern,home,31,36-55,,25,2-3,0,0,0,0,2,0,124,2,7,246,,2,2,29:37,0,23,2,,30,1,179,,,,6-17,1,8-99,425,2,4.5,6.0
160,401767159,2377,McNeese,Southland,home,41,20-39,,21,1-2,0,,0,17,2,0,53,3,5,278,,2,2,27:17,0,3,1,,33,4,259,,,,8-16,,7-62,537,2,7.1,7.8
161,401767159,2692,Weber State,Big Sky,away,42,11-20,,21,1-1,0,,1,20,2,0,82,4,6,218,,2,1,32:43,0,-2,1,,49,4,229,,,,9-16,,5-58,447,2,10.9,4.7
162,401767161,2127,Charleston Southern,Big South-OVC,home,28,23-33,,18,0-0,1,0,,,1,0,61,3,4,289,,,1,31:55,0,71,5,,33,3,153,,,,9-16,2,11-115,442,2,8.8,4.6
163,401767161,2815,Lindenwood,Big South-OVC,away,35,20-34,,22,0-0,0,1,0,23,0,,,,5,246,,1,1,28:05,0,31,1,,29,4,83,,,,6-13,1,2-20,329,0,7.2,2.9
164,401767173,2197,Eastern Illinois,Big South-OVC,home,30,28-44,,20,1-3,0,,,,2,0,59,4,6,411,,,4,29:30,0,15,2,,27,0,36,,,,3-14,,7-54,447,2,9.3,1.3
165,401767173,2287,Illinois State,MVFC,away,42,24-35,,24,1-2,0,,0,0,0,0,41,2,6,299,,2,3,30:30,0,6,3,,37,3,186,,,,7-17,,8-80,485,0,8.5,5.0
166,401767181,2261,Hampton,CAA,away,30,12-24,,15,1-1,0,,,,0,0,72,4,12,153,,,2,32:41,0,7,1,,40,1,168,,,,5-16,,9-76,321,0,6.4,4.2
167,401767181,2448,North Carolina A&T,CAA,home,33,14-27,,16,0-0,0,,,,0,0,49,4,9,144,,,1,27:19,0,33,4,,44,3,166,,,,7-19,,7-57,310,0,5.3,3.8
168,401767190,284,Stonehill,NEC,away,13,14-26,,15,2-2,1,1,,,0,0,18,1,7,132,,,0,32:44,0,27,4,,34,0,65,,,,5-16,1,4-30,197,1,5.1,1.9
