player_id,player_name,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate
4685578,Gunner Stockton,Georgia,SEC,Notre Dame,20,32,234,7.3,1,0,47.5,1,0.625,7.3125,0.03125,0.0
5079516,KJ Jackson,Arkansas,SEC,Arkansas-Pine Bluff,4,4,59,14.8,0,0,91.4,1,1.0,14.75,0.0,0.0
4431325,Taylen Green,Arkansas,SEC,Arkansas-Pine Bluff,16,23,229,10.0,2,0,91.5,1,0.6956521739130435,9.956521739130435,0.08695652173913043,0.0
4870999,Malachi Singleton,Arkansas,SEC,Arkansas-Pine Bluff,8,10,120,12.0,0,0,30.8,1,0.8,12.0,0.0,0.0
4429088,Drew Pyne,Missouri,SEC,Murray State,10,11,82,7.5,0,0,66.2,1,0.9090909090909091,7.454545454545454,0.0,0.0
4429435,Brady Cook,Missouri,SEC,Murray State,19,30,218,7.3,1,0,53.3,1,0.6333333333333333,7.266666666666667,0.03333333333333333,0.0
5079465,Michael Hawkins Jr.,Oklahoma,SEC,Temple,2,4,17,4.3,0,0,9.9,1,0.5,4.25,0.0,0.0
4870607,Jackson Arnold,Oklahoma,SEC,Temple,17,25,141,5.6,4,0,44.3,1,0.68,5.64,0.16,0.0
5151231,Forrest Brock,Temple,American Athletic,Oklahoma,12,25,128,5.1,0,2,7.0,1,0.48,5.12,0.0,0.08
5084180,Diego Pavia,Vanderbilt,SEC,Virginia Tech,12,16,190,11.9,2,0,82.6,1,0.75,11.875,0.125,0.0
4428439,Collin Schlee,Virginia Tech,ACC,Vanderbilt,0,1,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0
4678010,Kyron Drones,Virginia Tech,ACC,Vanderbilt,22,33,322,9.8,2,1,58.1,1,0.6666666666666666,9.757575757575758,0.06060606060606061,0.030303030303030304
4430841,Carson Beck,Georgia,SEC,Clemson,23,33,278,8.4,2,0,91.7,1,0.696969696969697,8.424242424242424,0.06060606060606061,0.0
4685413,Cade Klubnik,Clemson,ACC,Georgia,18,29,142,4.9,0,1,40.8,1,0.6206896551724138,4.896551724137931,0.0,0.034482758620689655
4870799,Nico Iamaleava,Tennessee,SEC,Chattanooga,22,28,314,11.2,3,0,81.6,1,0.7857142857142857,11.214285714285714,0.10714285714285714,0.0
4697122,Gaston Moore,Tennessee,SEC,Chattanooga,7,12,69,5.8,0,1,8.9,1,0.5833333333333334,5.75,0.0,0.08333333333333333
5079531,Jake Merklinger,Tennessee,SEC,Chattanooga,4,4,31,7.8,0,0,34.5,1,1.0,7.75,0.0,0.0
4431353,Xavier Restrepo,Miami,ACC,Florida,0,1,0,0.0,0,0,1.1,1,0.0,0.0,0.0,0.0
4688380,Cameron Ward,Miami,ACC,Florida,26,35,385,11.0,3,1,95.7,1,0.7428571428571429,11.0,0.08571428571428572,0.02857142857142857
4426335,Graham Mertz,Florida,SEC,Miami,11,20,91,4.6,0,1,19.1,1,0.55,4.55,0.0,0.05
5079555,D.J. Lagway,Florida,SEC,Miami,3,6,31,5.2,0,1,57.4,1,0.5,5.166666666666667,0.0,0.16666666666666666
4870906,Arch Manning,Texas,SEC,Colorado State,5,6,95,15.8,1,0,91.6,1,0.8333333333333334,15.833333333333334,0.16666666666666666,0.0
4889929,Quinn Ewers,Texas,SEC,Colorado State,20,27,260,9.6,3,1,71.9,1,0.7407407407407407,9.62962962962963,0.1111111111111111,0.037037037037037035
4695867,Grant Wilson,Old Dominion,Sun Belt,South Carolina,22,38,197,5.2,1,2,49.9,1,0.5789473684210527,5.184210526315789,0.02631578947368421,0.05263157894736842
