,player_name,player_id,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate,id
153,Malachi Fields,14047944,2,3,51,51.0,0,0,202.7,25,2.0,51.0,0.0,0.0,774
154,Malachi Singleton,19483996,21,28,358,37.1,1,0,124.6,21,2.2523809523809524,37.11904761904762,0.0714285714285714,0.0,32
155,Marcel Reed,48709710,147,240,1864,103.2,15,6,694.1,73,6.384618070717716,103.08796731282699,0.5348949388634003,0.187641087290456,2450
156,Mario Williams,4431618,0,1,0,0.0,0,0,2.6,1,0.0,0.0,0.0,0.0,2655
157,Marquis Johnson,5076106,0,1,0,0.0,0,0,2.2,1,0.0,0.0,0.0,0.0,142
158,Matthew Golden,4701936,1,2,30,15.0,0,0,79.8,7,0.5,15.0,0.0,0.0,251
159,Max Brosmer,9146796,31,50,377,15.2,1,1,123.60000000000001,2,1.2397372742200328,15.180623973727421,0.0344827586206896,0.0344827586206896,270
160,Max Brown,4875125,8,12,175,14.6,0,0,80.8,2,0.6666666666666666,14.583333333333334,0.0,0.0,2429
161,Max Johnson,4685740,12,19,71,3.7,0,1,37.0,1,0.631578947368421,3.736842105263158,0.0,0.0526315789473684,153
162,Micah Ford,10286382,2,2,21,21.0,2,0,200.0,19,2.0,21.0,2.0,0.0,48
163,Michael Hawkins Jr.,35556255,76,120,783,48.5,3,2,310.40000000000003,36,4.262273901808785,48.59418604651162,0.1020671834625322,0.4,1407
164,Michael Johnson Jr.,4570048,2,3,31,10.3,0,0,2.2,5,0.6666666666666666,10.333333333333334,0.0,0.0,183
165,Michael Kern,27402186,26,48,314,38.8,1,4,71.4,39,3.1503623188405796,38.76992753623188,0.0434782608695652,0.753623188405797,924
166,Michael Merdinger,5144313,9,12,86,7.2,0,1,3.0,1,0.75,7.166666666666667,0.0,0.0833333333333333,153
167,Michael Van Buren Jr.,45716580,140,256,1886,66.2,11,7,543.8,81,4.894297950689315,66.08351859755957,0.3257322275349417,0.2168949384232624,3096
168,Mike Wright,4433932,20,36,158,4.4,0,1,20.7,2,0.5555555555555556,4.388888888888889,0.0,0.0277777777777777,77
169,Mikey Matthews,4921306,0,1,0,0.0,0,0,0.8,13,0.0,0.0,0.0,0.0,25
170,Miles O'Neill,5145396,5,6,51,8.5,1,0,97.8,12,0.8333333333333334,8.5,0.1666666666666666,0.0,245
171,Miller Moss,4431580,27,36,378,10.5,1,0,79.2,1,0.75,10.5,0.0277777777777777,0.0,30
172,Nate Johnson,9736600,1,3,12,6.0,0,0,106.3,15,0.5,6.0,0.0,0.0,476
173,Nate Yarnell,37465456,98,167,1056,49.8,10,5,400.9,74,4.830401321705669,49.81026465482987,0.6326677750590793,0.2524729698642741,1768
174,Navy Shuler,4565892,1,3,10,3.3,0,0,16.1,13,0.3333333333333333,3.333333333333333,0.0,0.0,2633
175,Nicholas Barr-Mira,4569416,1,1,11,11.0,0,0,100.0,14,1.0,11.0,0.0,0.0,344
176,Nick Poulos,5228762,8,19,110,5.8,0,1,18.7,4,0.4210526315789473,5.789473684210527,0.0,0.0526315789473684,195
177,Nick Vattiato,9365036,42,66,336,10.1,1,2,77.9,6,1.2727272727272727,10.181818181818182,0.0303030303030303,0.0606060606060606,4786
178,Nico Iamaleava,68191186,229,357,2827,117.3,21,7,985.3,94,8.982514640067336,117.20201067416079,0.9361331259214551,0.2878731574383746,36862
179,Noah Kim,4690158,6,12,80,6.7,1,0,71.2,4,0.5,6.666666666666667,0.0833333333333333,0.0,324
180,OJ Arnold,4838269,1,1,12,12.0,1,0,99.5,4,1.0,12.0,1.0,0.0,290
181,Owen McCown,4775136,21,29,132,4.6,0,0,59.3,3,0.7241379310344828,4.551724137931035,0.0,0.0,2636
182,Parker Navarro,4610131,18,30,181,6.0,0,1,17.2,1,0.6,6.033333333333333,0.0,0.0333333333333333,195
183,Payton Thorne,53167080,213,344,2878,102.0,22,13,747.5,86,7.426698257247614,102.12165142174095,0.8017927840969699,0.468110688630948,24
184,Peter Moore,4697496,1,1,-1,-1.0,0,0,24.7,5,1.0,-1.0,0.0,0.0,259
185,Pierce Clarkson,4870636,3,4,11,2.8,0,0,0.6,1,0.75,2.75,0.0,0.0,97
186,Preston Stone,26596602,30,51,421,47.0,5,1,318.9,34,3.7333333333333334,46.88333333333333,1.5055555555555555,0.0333333333333333,15402
187,Quinn Ewers,68459006,283,423,3316,114.2,31,11,1051.3,84,9.537272432634204,114.18170732115522,1.0640508966003048,0.3893516416872467,3514
188,Quinn Henicle,5193346,5,12,38,3.2,0,1,10.1,3,0.4166666666666667,3.1666666666666665,0.0,0.0833333333333333,295
189,Reese Poffenbarger,4875866,6,7,20,2.9,0,0,10.5,2,0.8571428571428571,2.857142857142857,0.0,0.0,2390
190,Richie Hoskins,5089070,0,1,0,0.0,0,0,4.5,14,0.0,0.0,0.0,0.0,238
191,Rickie Collins,14611935,5,5,35,21.0,0,0,144.6,15,3.0,21.0,0.0,0.0,297
192,Robby Ashford,28185072,23,32,324,43.9,2,0,353.0,37,4.964285714285714,43.82142857142857,0.0952380952380952,0.0,15474
193,Rocco Becht,4801299,22,36,270,7.5,3,0,77.2,1,0.6111111111111112,7.5,0.0833333333333333,0.0,66
194,Roman Gagliano,10389252,4,9,41,5.9,0,0,37.1,6,0.5714285714285714,5.857142857142857,0.0,0.0,4786
195,Sam Leavitt,10157620,34,66,291,8.3,0,1,145.3,3,1.0217391304347827,8.27608695652174,0.0,0.0217391304347826,18
