Rk,Player ID,Player,Team,Team_id,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
415,4880079,Reagan Ealy,Arkansas State,2032,Sun Belt,13,1,1,100,11,0,0,0,0,11,11,11,0.8,192.4,,reagan-ealy-1
46,5080403,Jaylen Raynor,Arkansas State,2032,Sun Belt,13,259,420,61.7,2783,16,3.8,10,2.4,6.6,6.32,10.7,214.1,125.1,,jaylen--raynor-1
427,4431416,Kiael Kelly,Ball State,2050,MAC,11,2,4,50,8,0,0,0,0,2,2,4,0.7,66.8,,kiael-kelly-1
454,4869603,Cam Pickett,Ball State,2050,MAC,12,0,1,0,0,0,0,1,100,0,-45,,0,-200,,cam-pickett-1
370,4877713,Braedon Sloan,Ball State,2050,MAC,12,1,1,100,22,1,100,0,0,22,42,22,1.8,614.8,,braedon-sloan-1
34,5091890,Kadin Semonza,Ball State,2050,MAC,12,275,427,64.4,2904,25,5.9,10,2.3,6.8,6.92,10.6,242,136.2,,kadin-semonza-1
77,4877296,CJ Ogbonna,Buffalo,2084,MAC,13,190,336,56.5,2381,19,5.7,5,1.5,7.1,7.55,12.5,183.2,131.8,,cj-ogbonna-1
324,5151366,Gunnar Gray,Buffalo,2084,MAC,4,4,11,36.4,41,0,0,1,9.1,3.7,-0.36,10.3,10.3,49.5,,gunnar-gray-1
136,4567149,KJ Jefferson,UCF,2116,Big 12,5,64,108,59.3,1012,7,6.5,4,3.7,9.4,9,15.8,202.4,152,,kj-jefferson-1
503,4567415,Trent Whittemore,UCF,2116,Big 12,11,0,1,0,0,0,0,0,0,0,0,,0,0,,trent-whittemore-1
394,4568490,RJ Harvey,UCF,2116,Big 12,12,1,1,100,18,0,0,0,0,18,18,18,1.5,251.2,,rj-harvey-1
198,4685291,Jacurri Brown,UCF,2116,Big 12,9,35,67,52.2,398,1,1.5,4,6,5.9,3.55,11.4,44.2,95.1,,jacurri-brown-1
146,4920156,Dylan Rizk,UCF,2116,Big 12,6,72,117,61.5,904,5,4.3,2,1.7,7.7,7.81,12.6,150.7,137.1,,dylan-rizk-1
293,5141395,EJ Colson,UCF,2116,Big 12,3,9,16,56.3,64,1,6.3,1,6.3,4,2.44,7.1,21.3,98,,ej-colson-1
131,4683291,Joey Labas,Central Michigan,2117,MAC,6,94,160,58.8,1114,7,4.4,7,4.4,7,5.87,11.9,185.7,122.9,,joey-labas-1
218,4870848,Tyler Jefferson,Central Michigan,2117,MAC,7,27,58,46.6,286,0,0,1,1.7,4.9,4.16,10.6,40.9,84.5,,tyler-jefferson-1
363,4912334,David Chapeau,Central Michigan,2117,MAC,12,1,1,100,23,0,0,0,0,23,23,23,1.9,293.2,,david-chapeau-2
275,4916888,Bert Emanuel Jr.,Central Michigan,2117,MAC,3,4,6,66.7,99,2,33.3,0,0,16.5,23.17,24.8,33,315.3,,bert-emanuel-jr-1
187,5149056,Jadyn Glasser,Central Michigan,2117,MAC,4,41,76,53.9,439,2,2.6,4,5.3,5.8,3.93,10.7,109.8,100.6,,jadyn-glasser-1
465,4431339,Evan Prater,Cincinnati,2132,Big 12,11,0,1,0,0,0,0,0,0,0,0,,0,0,,evan-prater-1
360,4590294,Brady Lichtenberg,Cincinnati,2132,Big 12,3,3,5,60,25,0,0,0,0,5,5,8.3,8.3,102,,brady-lichtenberg-1
43,4899046,Brendan Sorsby,Cincinnati,2132,Big 12,12,249,389,64,2813,18,4.6,7,1.8,7.2,7.35,11.3,234.4,136.4,,brendan-sorsby-1
373,4433855,Terry Lockett,Eastern Michigan,2199,MAC,12,1,1,100,22,1,100,0,0,22,42,22,1.8,614.8,,terry-lockett-jr-1
55,4570057,Cole Snyder,Eastern Michigan,2199,MAC,12,240,402,59.7,2684,15,3.7,9,2.2,6.7,6.42,11.2,223.7,123.6,,cole-snyder-2
492,4708847,Mitchell Tomasek,Eastern Michigan,2199,MAC,12,0,1,0,0,0,0,0,0,0,0,,0,0,,mitchell-tomasek-1
262,5083199,Jeremiah Salem,Eastern Michigan,2199,MAC,3,8,11,72.7,126,1,9.1,1,9.1,11.5,9.18,15.8,42,180.8,,jermiah-salem-1
116,4700135,Cam Fancher,Florida Atlantic,2226,American,9,126,212,59.4,1528,6,2.8,6,2.8,7.2,6.5,12.1,169.8,123.7,,cam-fancher-1
193,4954456,Kasen Weisman,Florida Atlantic,2226,American,7,39,73,53.4,416,2,2.7,3,4.1,5.7,4.4,10.7,59.4,102.1,,kasen-weisman-2
166,5082005,Tyriq Starks,Florida Atlantic,2226,American,5,39,63,61.9,550,6,9.5,2,3.2,8.7,9.21,14.1,110,160.3,,tyriq-starks-1
422,5125301,Carson Cruver,Florida Atlantic,2226,American,1,1,1,100,9,0,0,0,0,9,9,9,9,175.6,,carson-cruver-1
333,4576127,Haden Carlson,Florida International,2229,CUSA,1,4,6,66.7,37,0,0,2,33.3,6.2,-8.83,9.3,37,51.8,,haden-carlson-1
297,4602898,Chayden Peery,Florida International,2229,CUSA,1,7,12,58.3,58,1,8.3,0,0,4.8,6.5,8.3,58,126.4,,chayden-peery-1
273,4837469,Amari Jones,Florida International,2229,CUSA,5,7,12,58.3,101,1,8.3,1,8.3,8.4,6.33,14.4,20.2,139.9,,amari-jones-1
62,5085337,Keyone Jenkins,Florida International,2229,CUSA,12,188,304,61.8,2557,22,7.2,8,2.6,8.4,8.67,13.6,213.1,151.1,,keyone-jenkins-1
90,4432612,Christian Veilleux,Georgia State,2247,Sun Belt,10,166,291,57,2047,13,4.5,11,3.8,7,6.23,12.3,204.7,123.3,,christian-veilleux-1
138,4568336,Zach Gibson,Georgia State,2247,Sun Belt,7,102,151,67.5,1004,7,4.6,2,1.3,6.6,6.98,9.8,143.4,136.1,,zach-gibson-1
393,4685440,Kyle Lowe,Georgia State,2247,Sun Belt,5,3,7,42.9,18,1,14.3,0,0,2.6,5.43,6,3.6,111.6,,kyle-lowe-2
135,4427455,Cade McNamara,Iowa,2294,Big Ten,8,104,172,60.5,1017,6,3.5,5,2.9,5.9,5.3,9.8,127.1,115.8,,cade-mcnamara-1
181,4683058,Brendan Sullivan,Iowa,2294,Big Ten,10,38,53,71.7,475,3,5.7,3,5.7,9,7.55,12.5,47.5,154.3,,brendan-sullivan-1
235,4836471,Jackson Stratton,Iowa,2294,Big Ten,3,21,35,60,219,1,2.9,0,0,6.3,6.83,10.4,73,122,,jackson-stratton-1
70,4596472,Jalon Daniels,Kansas,2305,Big 12,12,171,300,57,2454,14,4.7,12,4,8.2,7.31,14.4,204.5,133.1,,jalon-daniels-1
304,5151060,Cole Ballard,Kansas,2305,Big 12,3,5,6,83.3,51,1,16.7,0,0,8.5,11.83,10.2,17,209.7,,cole-ballard-1
