player_name,player_id,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct
Tommy Rittenhouse,4878284,Illinois State,MVFC,Season,319,496,3302,6.657258064516129,37,11,,15,0.6431451612903226
Tramell Jones Jr.,5295814,Florida,SEC,Season,21,35,191,5.457142857142857,2,0,33.38285714285715,11,0.6
Trey Hedden,5224084,Furman,Southern,Season,287,419,2967,7.081145584725537,17,13,,13,0.684964200477327
Trey Kukuk,5296376,Louisiana Tech,Conference USA,Season,61,97,523,5.391752577319588,2,2,48.94742268041238,14,0.6288659793814433
Trinidad Chambliss,4911529,Ole Miss,SEC,Season,294,445,3937,8.847191011235955,22,3,84.34606741573033,14,0.6606741573033708
Tristan Ti'a,5210501,Oregon State,Pac-12,Season,36,52,381,7.326923076923077,3,2,38.24038461538461,14,0.6923076923076923
Tucker Gleason,4429801,Toledo,Mid-American,Season,207,320,2515,7.859375,21,9,54.26625,14,0.646875
Tucker Kilcrease,4912119,Troy,Sun Belt,Season,128,220,1523,6.922727272727273,9,6,41.68909090909091,15,0.5818181818181818
Turner Helton,4912238,Georgia Southern,Sun Belt,Season,13,25,73,2.92,1,0,49.464,13,0.52
Ty Dieffenbach,5092275,Cal Poly,Big Sky,Season,91,160,1263,7.89375,9,9,,12,0.56875
Ty Englehart,5088096,Presbyterian,Pioneer,Season,15,34,116,3.411764705882353,2,2,,11,0.4411764705882353
Ty Pennington,5225414,Northern Arizona,Big Sky,Season,230,350,2705,7.728571428571429,16,4,,13,0.6571428571428571
Ty Simpson,4685522,Alabama,SEC,Season,305,473,3567,7.54122621564482,28,5,71.09133192389005,15,0.6448202959830867
Tyler Hughes,4838536,William & Mary,CAA,Season,204,308,2330,7.564935064935065,20,3,,13,0.6623376623376623
Tyler Riddell,4777154,Duquesne,NEC,Season,166,293,2011,6.863481228668942,25,7,,13,0.5665529010238908
Tyler Voss,4868721,San Diego,Pioneer,Season,54,89,423,4.752808988764045,3,0,,7,0.6067415730337079
Tyrese Smith,5225576,Portland State,Big Sky,Season,36,61,522,8.557377049180328,2,4,,13,0.5901639344262295
Tyriq Starks,5082005,Howard,MEAC,Season,156,277,1638,5.913357400722021,8,10,,13,0.5631768953068592
Victor Gabalis,4697625,Tarleton State,UAC,Season,175,293,2687,9.170648464163822,28,5,,15,0.5972696245733788
Vinson Berry,5231174,Norfolk State,MEAC,Season,28,53,310,5.849056603773585,4,2,,13,0.5283018867924528
Walker Eget,4694149,San José State,Mountain West,Season,232,393,3058,7.78117048346056,17,9,56.99541984732824,13,0.5903307888040712
Walker Harris,4696880,North Carolina Central,MEAC,Season,234,375,3215,8.573333333333334,24,9,,13,0.624
Walker Howard,4685391,Louisiana,Sun Belt,Season,18,37,155,4.1891891891891895,0,2,40.95945945945946,14,0.4864864864864865
Will Crowder,4431633,Troy,Sun Belt,Season,113,193,1320,6.839378238341969,11,5,48.17512953367876,15,0.5854922279792746
Will Hammond,5126468,Texas Tech,Big 12,Season,68,108,668,6.185185185185185,7,3,69.22407407407408,9,0.6296296296296297
Will O'Dell,5298896,Marist,Pioneer,Season,42,66,439,6.651515151515151,2,3,,13,0.6363636363636364
Xander Menapace,5154126,Columbia,Ivy,Season,17,29,218,7.517241379310345,1,2,,7,0.5862068965517241
Xavier Ward,4683867,San José State,Mountain West,Season,11,31,109,3.5161290322580645,0,4,11.896774193548387,14,0.3548387096774194
Zach Calzada,4426847,Kentucky,SEC,Season,28,58,238,4.103448275862069,0,2,26.403448275862072,13,0.4827586206896552
Zach Gibson,4568336,Florida Atlantic,American Athletic,Season,27,47,247,5.25531914893617,2,3,41.65744680851064,14,0.574468085106383
Zach Osborne,5085941,Colgate,Patriot,Season,65,114,1064,9.333333333333334,9,3,,13,0.5701754385964912
Zach Tanner,5095112,Robert Morris,NEC,Season,84,166,1069,6.4397590361445785,11,2,,11,0.5060240963855421
Zach Wilcke,4808719,Charlotte,American Athletic,Season,28,44,247,5.613636363636363,2,1,52.22954545454545,11,0.6363636363636364
Zane Flores,4923267,Oklahoma State,Big 12,Season,155,262,1454,5.549618320610687,3,7,43.28702290076336,14,0.5916030534351145
Zevi Eckhaus,4876066,Washington State,Pac-12,Season,192,306,2092,6.836601307189542,15,12,63.58725490196079,14,0.6274509803921569
Zion Turner,4685697,Marshall,Sun Belt,Season,40,59,409,6.932203389830509,1,1,39.889830508474574,14,0.6779661016949152
Zolten Osbourne,5164721,Charleston Southern,Big South-OVC,Season,167,305,2229,7.308196721311475,12,6,,13,0.5475409836065573
