player_id,player_name,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct
5027925,Jax Leatherwood,Southeast Missouri State,Big South-OVC,Arkansas State,26,36,272,7.6,2,0,,1,0.7222222222222222
5080403,Jaylen Raynor,Arkansas State,Sun Belt,Southeast Missouri State,26,32,345,10.8,3,0,80.0,1,0.8125
5104738,Ryan Browne,Purdue,Big Ten,Ball State,18,26,311,12.0,2,0,82.7,1,0.6923076923076923
4431416,Kiael Kelly,Ball State,Mid-American,Purdue,10,16,87,5.4,0,0,17.3,1,0.625
4879058,Joe Pesansky,Florida International,Conference USA,Bethune-Cookman,4,5,46,9.2,0,0,32.6,1,0.8
5085337,Keyone Jenkins,Florida International,Conference USA,Bethune-Cookman,18,30,187,6.2,0,0,48.8,1,0.6
4433969,Timmy McClain,Bethune-Cookman,SWAC,Florida International,18,28,164,5.9,0,0,,1,0.6428571428571429
4565189,Cam Ransom,Bethune-Cookman,SWAC,Florida International,5,10,77,7.7,0,0,,1,0.5
4696065,Derek Robertson,Monmouth,CAA,Colgate,34,45,491,10.9,4,4,,1,0.7555555555555555
5085941,Zach Osborne,Colgate,Patriot,Monmouth,11,14,227,16.2,2,0,,1,0.7857142857142857
5089309,Jake Stearney,Colgate,Patriot,Monmouth,10,23,138,6.0,1,0,,1,0.43478260869565216
5148803,Brad Jackson,Texas State,Sun Belt,Rice,17,24,174,7.3,3,0,40.4,1,0.7083333333333334
5265447,Patrick Crayton Jr.,Rice,American Athletic,Texas State,4,9,70,7.8,1,1,3.6,1,0.4444444444444444
5221569,Lucas Scheerhorn,Rice,American Athletic,Texas State,6,9,16,1.8,0,0,2.0,1,0.6666666666666666
5154910,Robert Coleman,Lamar,Southland,North Texas,13,24,88,3.7,0,1,,1,0.5416666666666666
5219834,Drew Mestemaker,North Texas,American Athletic,Lamar,24,32,329,10.3,3,0,87.3,1,0.75
4698302,CJ Jordan,Portland State,Big Sky,BYU,8,14,58,4.1,0,0,,1,0.5714285714285714
5225576,Tyrese Smith,Portland State,Big Sky,BYU,2,6,-2,-0.3,0,0,,1,0.3333333333333333
5141367,Bear Bachmeier,BYU,Big 12,Portland State,7,11,97,8.8,3,0,66.5,1,0.6363636363636364
4923285,McCae Hillstead,BYU,Big 12,Portland State,4,5,33,6.6,0,0,67.3,1,0.8
5158746,Jordan Cooke,Idaho State,Big Sky,Southern Utah,23,45,334,7.4,1,1,,1,0.5111111111111111
5224050,Davis Harsin,Idaho State,Big Sky,Southern Utah,1,5,4,0.8,0,0,,1,0.2
4697131,Bronson Barron,Southern Utah,UAC,Idaho State,19,25,240,9.6,3,0,,1,0.76
5225902,Hayden Johnson,Lehigh,Patriot,Richmond,13,24,135,5.6,2,2,,1,0.5416666666666666
4877890,Kyle Wickersham,Richmond,Patriot,Lehigh,14,20,113,5.7,0,1,,1,0.7
